"x","y","order","group","pathGroup"
0.35,1,15,"k","k.1"
0.685416666666667,0.72280701754386,16,"k","k.2"
0.685416666666667,0.72280701754386,17,"k","k.2"
0.35,1,18,"k","k.1"
0.704166666666667,0,19,"k","k.3"
0.704166666666667,0,20,"k","k.3"
0.35,1,21,"k","k.1"
0.4625,1,1,"l","l.1"
0.533333333333333,1,2,"l","l.1"
0.533333333333333,0,3,"l","l.1"
0.4625,0,4,"l","l.1"
0.4625,0.996491228070175,5,"l","l.1"
0.4625,1,6,"l","l.1"
0.208333333333333,0.976303317535545,1,"m","m.1"
0.272916666666667,0.976303317535545,2,"m","m.1"
0.275,0.843601895734597,3,"m","m.1"
0.308333333333333,0.928909952606635,4,"m","m.1"
0.34375,0.976303317535545,5,"m","m.1"
0.385416666666667,1,6,"m","m.1"
0.427083333333333,1,7,"m","m.1"
0.447916666666667,0.990521327014218,8,"m","m.1"
0.466666666666667,0.976303317535545,9,"m","m.1"
0.49375,0.938388625592417,10,"m","m.1"
0.508333333333333,0.90521327014218,11,"m","m.1"
0.527083333333333,0.829383886255924,12,"m","m.1"
0.552083333333333,0.900473933649289,13,"m","m.1"
0.56875,0.933649289099526,14,"m","m.1"
0.60625,0.981042654028436,15,"m","m.1"
0.641666666666667,1,16,"m","m.1"
0.695833333333333,0.995260663507109,17,"m","m.1"
0.739583333333333,0.957345971563981,18,"m","m.1"
0.766666666666667,0.900473933649289,19,"m","m.1"
0.78125,0.838862559241706,20,"m","m.1"
0.791666666666667,0.744075829383886,21,"m","m.1"
0.791666666666667,0,22,"m","m.1"
0.720833333333333,0,23,"m","m.1"
0.71875,0.734597156398104,24,"m","m.1"
0.708333333333333,0.791469194312796,25,"m","m.1"
0.691666666666667,0.829383886255924,26,"m","m.1"
0.677083333333333,0.848341232227488,27,"m","m.1"
0.647916666666667,0.862559241706161,28,"m","m.1"
0.6125,0.853080568720379,29,"m","m.1"
0.579166666666667,0.815165876777251,30,"m","m.1"
0.554166666666667,0.753554502369668,31,"m","m.1"
0.541666666666667,0.682464454976303,32,"m","m.1"
0.5375,0.630331753554502,33,"m","m.1"
0.5375,0,34,"m","m.1"
0.466666666666667,0,35,"m","m.1"
0.466666666666667,0.644549763033175,36,"m","m.1"
0.4625,0.729857819905213,37,"m","m.1"
0.454166666666667,0.781990521327014,38,"m","m.1"
0.4375,0.829383886255924,39,"m","m.1"
0.416666666666667,0.853080568720379,40,"m","m.1"
0.391666666666667,0.862559241706161,41,"m","m.1"
0.358333333333333,0.853080568720379,42,"m","m.1"
0.325,0.815165876777251,43,"m","m.1"
0.304166666666667,0.767772511848341,44,"m","m.1"
0.2875,0.687203791469194,45,"m","m.1"
0.28125,0.606635071090047,46,"m","m.1"
0.28125,0,47,"m","m.1"
0.208333333333333,0,48,"m","m.1"
0.208333333333333,0.971563981042654,49,"m","m.1"
0.208333333333333,0.976303317535545,50,"m","m.1"
